id,filename,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,centroid_1,bandwidth_1,rolloff_1,zcr_1
0300,0300_Color Way.mp3,[117.45383523],-132.15825,71.259026,10.832197,16.202765,15.873886,7.68899,3.636165,5.5398526,-1.5389695,7.2369666,-3.4286501,4.418099,-1.3051344,0.0713151,0.00823931,-0.0060517746,0.0017940343,-0.00029564864,-0.0004839626,-0.0032849547,-0.0006224705,-0.0028930418,-0.0033542656,-0.0022897609,0.0010613133,0.0016227566,0.31034034,0.12085861,0.19382179,0.16413435,0.47134677,0.31300092,0.18633728,0.31345114,0.22826356,0.44193894,0.17781472,0.25548074,2698.89563732114,2801.4442967825526,5938.89986489933,0.10969315225272046
1653,1653_Silicon Sands.mp3,[103.359375],-166.64122,73.442505,24.06245,18.773527,16.779598,6.5050673,6.869564,-0.49021578,2.8245168,4.6999097,-2.4649603,2.6729105,-3.0457776,-0.0029270125,-0.0074005025,-0.00085448346,0.00020019528,0.002072195,0.00020350007,-0.003021344,0.0008376762,-0.001924529,-0.0046558823,-0.002566624,-0.0009802615,-0.0005037585,0.16100334,0.20305908,0.6116493,0.19124036,0.1583364,0.17469265,0.14470866,0.3106462,0.16575275,0.29105276,0.22728622,0.10499382,2452.4538487547284,2637.760548488604,5556.341786292542,0.08301767843788803
1623,1623_Signal(4).mp3,[135.99917763],-140.7294,68.75943,18.721985,8.7234745,5.6866775,3.0323641,-1.6275142,1.092235,-2.7670758,7.320223,-0.98596233,5.4739366,-1.6619859,0.042784397,-0.0057101734,-0.0078708315,0.0028405022,0.004025989,0.005414541,0.0033012906,0.001190512,0.0014129118,0.0009663106,-0.00064583146,0.0004480127,0.00044363143,0.5938915,0.23132281,0.28319117,0.25654358,0.19932427,0.28193632,0.21117939,0.47033414,0.2967094,0.16429305,0.1463263,0.13716614,2597.523328707521,2642.0920040008136,5767.193488354953,0.09275374441574323
2155,2155_Winter Waltz(1).mp3,[117.45383523],-172.13396,81.20471,17.857815,25.89729,12.998486,4.452873,10.034548,-1.847698,3.7789695,7.781634,-4.78002,2.778315,-4.817347,0.10633257,0.044919625,-0.022770438,-0.0010565592,-0.006148088,0.0017331892,-0.0037685714,-0.0084972475,-0.008732348,-0.0093824025,-0.0075536263,-0.0053460463,-0.0009499301,0.44581562,0.20327306,0.31060743,0.21559885,0.12488028,0.21282451,0.18728173,0.47810307,0.18142754,0.14016707,0.13774695,0.2003957,2259.262831828061,2580.251762762831,4869.04504531727,0.08242583165672263
1247,1247_New Dawn.mp3,[172.265625],-161.03026,87.090904,23.55104,12.208144,14.315831,-0.57945967,7.2757254,-4.3655224,-2.7769296,5.2851124,-7.903295,1.8238575,-7.0294404,0.048971128,0.0138550885,-0.0051174015,0.002904568,2.7124395e-05,0.00018692258,-0.0025667856,-0.0009438458,-0.0015054034,-0.0006759732,0.0004277709,0.0005429124,-0.00028121143,0.111110985,0.45343366,0.10919778,0.27139866,0.09794524,0.18196556,0.3939206,0.10820279,0.2842813,0.098580055,0.22955279,0.29839346,2464.719174152301,2735.276987202879,5740.428739771424,0.0890817762248559
0605,0605_Endless Bay.mp3,[89.10290948],-162.63141,79.93409,31.403807,18.455063,14.3073015,5.791999,4.4942656,1.9593251,-2.8228748,0.694118,-5.3141503,-2.7819145,-7.3165464,0.08703726,0.022840621,-0.0041116336,0.009972936,-0.0023946466,0.002698161,-5.978755e-06,-0.0014042603,-0.002495174,-0.0022744767,-0.0042542475,-0.001774712,-0.0028067639,0.28371945,0.17730509,0.40247288,0.14795406,0.2561663,0.14145076,0.2992714,0.3927961,0.19436544,0.3762855,0.20437099,0.41090092,2518.664059887592,2823.537865829573,5740.724599917659,0.08720748569362344
1274,1274_Outside.mp3,[151.99908088],-88.90941,65.33336,-7.932198,34.15345,9.941696,11.299056,7.125758,9.739073,4.615419,11.073566,-1.2556713,7.249441,-4.2406797,0.07400768,0.005957248,-0.0006744167,0.010441499,0.004315066,0.0034155797,-0.0003862692,-0.00047889556,0.0005142671,0.00092335884,-0.00062690733,8.507376e-05,1.1970581e-05,0.74701375,0.50264454,0.2872828,0.27166894,0.27390757,0.266122,0.26479277,0.5274515,0.42455846,0.24875216,0.23964632,0.30411208,2789.9592650203376,2610.509848125953,5822.70778968171,0.12373222786927432
1366,1366_Pulse(3).mp3,[143.5546875],-126.73091,58.59617,2.1513095,11.820466,7.8204317,7.3819904,-0.5129026,7.046297,2.393522,8.715467,3.7416198,6.8352675,0.8160176,0.10059967,0.014020599,-0.035696622,0.0019793161,-0.010026782,-0.008961446,-0.0064821453,-0.009663591,-0.0060451375,-0.006739474,-0.009482318,-0.0062541915,-0.003768706,0.1956092,0.2740666,0.82025576,0.2895425,0.23172666,0.21432786,0.19335127,0.27809858,0.18561761,0.30458474,0.17549203,0.12001932,2969.994671285786,2736.811884752406,6274.2443653207965,0.11260249585176992
0280,0280_Clockwork.mp3,[151.99908088],-145.81764,94.1748,16.852217,22.96907,10.859327,15.327226,8.919952,7.4251237,-0.26417795,6.5198865,-0.35162267,6.3753324,-1.3734729,0.01936652,-0.010900419,0.003716334,0.0061737136,-0.00026598148,0.002045085,-0.00092920655,-0.00089861517,-0.00020400777,-0.0011339134,-0.00023509792,-0.0004962657,-0.00036596763,0.36979726,0.40251198,0.62158513,0.24706303,0.25309566,0.23382686,0.18881324,0.24135453,0.21702963,0.532295,0.40449128,0.3319958,2224.131186815778,2435.610991648274,4898.254769573836,0.07820769756221782
1504,1504_Ripple.mp3,[107.66601562],-284.03088,127.39584,63.46788,32.433914,17.782331,-0.6764684,7.2876253,-8.726207,0.72004104,2.4994411,-4.5842996,2.9105294,-3.5716548,0.049284074,0.015712092,-0.021130191,-0.0010185215,-0.014418243,0.00474555,0.011013338,0.00027119846,-0.002787994,-0.0026248933,0.0060042045,0.009366301,0.0059771817,0.44874316,0.046086624,0.10909099,0.21766274,0.04510149,0.16453607,0.05158759,0.33454287,0.29867852,0.04262189,0.09801638,0.07429207,1225.1113315232546,1729.2756265266537,2758.77035491229,0.03854314474032467
